target,date,season,holiday,weekday,workingday,weathersit,temp,atemp,TM1,TM2,TM3,TM4,TM5,TM6,TM7
1,2011-01-01,1,0,6,0,1,0.2,0.2576,2,0,0,3,5,8,3
1,2011-01-01,1,0,6,0,1,0.24,0.2879,1,2,0,0,3,5,8
8,2011-01-01,1,0,6,0,1,0.32,0.3485,1,1,2,0,0,3,5
12,2011-01-01,1,0,6,0,1,0.38,0.3939,8,1,1,2,0,0,3
26,2011-01-01,1,0,6,0,1,0.36,0.3333,12,8,1,1,2,0,0
29,2011-01-01,1,0,6,0,1,0.42,0.4242,26,12,8,1,1,2,0
47,2011-01-01,1,0,6,0,2,0.46,0.4545,29,26,12,8,1,1,2
35,2011-01-01,1,0,6,0,2,0.46,0.4545,47,29,26,12,8,1,1
40,2011-01-01,1,0,6,0,2,0.44,0.4394,35,47,29,26,12,8,1
41,2011-01-01,1,0,6,0,2,0.42,0.4242,40,35,47,29,26,12,8
15,2011-01-01,1,0,6,0,2,0.44,0.4394,41,40,35,47,29,26,12
9,2011-01-01,1,0,6,0,3,0.42,0.4242,15,41,40,35,47,29,26
6,2011-01-01,1,0,6,0,3,0.42,0.4242,9,15,41,40,35,47,29
11,2011-01-01,1,0,6,0,2,0.4,0.4091,6,9,15,41,40,35,47
3,2011-01-01,1,0,6,0,2,0.4,0.4091,11,6,9,15,41,40,35
11,2011-01-01,1,0,6,0,2,0.4,0.4091,3,11,6,9,15,41,40
15,2011-01-01,1,0,6,0,2,0.46,0.4545,11,3,11,6,9,15,41
4,2011-01-02,1,0,0,0,2,0.46,0.4545,15,11,3,11,6,9,15
1,2011-01-02,1,0,0,0,2,0.44,0.4394,4,15,11,3,11,6,9
1,2011-01-02,1,0,0,0,2,0.42,0.4242,1,4,15,11,3,11,6
2,2011-01-02,1,0,0,0,2,0.46,0.4545,1,1,4,15,11,3,11
2,2011-01-02,1,0,0,0,2,0.46,0.4545,2,1,1,4,15,11,3
0,2011-01-02,1,0,0,0,3,0.42,0.4242,2,2,1,1,4,15,11
0,2011-01-02,1,0,0,0,2,0.4,0.4091,0,2,2,1,1,4,15
0,2011-01-02,1,0,0,0,3,0.4,0.4091,0,0,2,2,1,1,4
1,2011-01-02,1,0,0,0,2,0.38,0.3939,0,0,0,2,2,1,1
7,2011-01-02,1,0,0,0,2,0.36,0.3485,1,0,0,0,2,2,1
16,2011-01-02,1,0,0,0,2,0.36,0.3333,7,1,0,0,0,2,2
20,2011-01-02,1,0,0,0,2,0.36,0.3333,16,7,1,0,0,0,2
11,2011-01-02,1,0,0,0,2,0.36,0.3485,20,16,7,1,0,0,0
4,2011-01-02,1,0,0,0,3,0.36,0.3485,11,20,16,7,1,0,0
19,2011-01-02,1,0,0,0,3,0.34,0.3333,4,11,20,16,7,1,0
9,2011-01-02,1,0,0,0,3,0.34,0.3333,19,4,11,20,16,7,1
7,2011-01-02,1,0,0,0,1,0.34,0.3333,9,19,4,11,20,16,7
10,2011-01-02,1,0,0,0,2,0.36,0.3333,7,9,19,4,11,20,16
1,2011-01-02,1,0,0,0,1,0.32,0.2879,10,7,9,19,4,11,20
5,2011-01-02,1,0,0,0,1,0.3,0.2727,1,10,7,9,19,4,11
11,2011-01-02,1,0,0,0,1,0.26,0.2273,5,1,10,7,9,19,4
0,2011-01-02,1,0,0,0,1,0.24,0.2121,11,5,1,10,7,9,19
0,2011-01-02,1,0,0,0,1,0.22,0.2273,0,11,5,1,10,7,9
0,2011-01-03,1,0,1,1,1,0.22,0.197,0,0,11,5,1,10,7
0,2011-01-03,1,0,1,1,1,0.2,0.1667,0,0,0,11,5,1,10
0,2011-01-03,1,0,1,1,1,0.16,0.1364,0,0,0,0,11,5,1
0,2011-01-03,1,0,1,1,1,0.16,0.1364,0,0,0,0,0,11,5
0,2011-01-03,1,0,1,1,1,0.14,0.1061,0,0,0,0,0,0,11
1,2011-01-03,1,0,1,1,1,0.14,0.1364,0,0,0,0,0,0,0
1,2011-01-03,1,0,1,1,1,0.14,0.1212,1,0,0,0,0,0,0
7,2011-01-03,1,0,1,1,1,0.16,0.1364,1,1,0,0,0,0,0
11,2011-01-03,1,0,1,1,1,0.18,0.1667,7,1,1,0,0,0,0
