target,date,season,holiday,weekday,workingday,weathersit,temp,atemp,TM1,TM2,TM3,TM4,TM5,TM6,TM7
3,2011-01-01,1,0,6,0,1,0.2,0.2576,2,1,1,13,32,40,16
8,2011-01-01,1,0,6,0,1,0.24,0.2879,3,2,1,1,13,32,40
14,2011-01-01,1,0,6,0,1,0.32,0.3485,8,3,2,1,1,13,32
36,2011-01-01,1,0,6,0,1,0.38,0.3939,14,8,3,2,1,1,13
56,2011-01-01,1,0,6,0,1,0.36,0.3333,36,14,8,3,2,1,1
84,2011-01-01,1,0,6,0,1,0.42,0.4242,56,36,14,8,3,2,1
94,2011-01-01,1,0,6,0,2,0.46,0.4545,84,56,36,14,8,3,2
106,2011-01-01,1,0,6,0,2,0.46,0.4545,94,84,56,36,14,8,3
110,2011-01-01,1,0,6,0,2,0.44,0.4394,106,94,84,56,36,14,8
93,2011-01-01,1,0,6,0,2,0.42,0.4242,110,106,94,84,56,36,14
67,2011-01-01,1,0,6,0,2,0.44,0.4394,93,110,106,94,84,56,36
35,2011-01-01,1,0,6,0,3,0.42,0.4242,67,93,110,106,94,84,56
37,2011-01-01,1,0,6,0,3,0.42,0.4242,35,67,93,110,106,94,84
36,2011-01-01,1,0,6,0,2,0.4,0.4091,37,35,67,93,110,106,94
34,2011-01-01,1,0,6,0,2,0.4,0.4091,36,37,35,67,93,110,106
28,2011-01-01,1,0,6,0,2,0.4,0.4091,34,36,37,35,67,93,110
39,2011-01-01,1,0,6,0,2,0.46,0.4545,28,34,36,37,35,67,93
17,2011-01-02,1,0,0,0,2,0.46,0.4545,39,28,34,36,37,35,67
17,2011-01-02,1,0,0,0,2,0.44,0.4394,17,39,28,34,36,37,35
9,2011-01-02,1,0,0,0,2,0.42,0.4242,17,17,39,28,34,36,37
6,2011-01-02,1,0,0,0,2,0.46,0.4545,9,17,17,39,28,34,36
3,2011-01-02,1,0,0,0,2,0.46,0.4545,6,9,17,17,39,28,34
2,2011-01-02,1,0,0,0,3,0.42,0.4242,3,6,9,17,17,39,28
