target,date,season,holiday,weekday,workingday,weathersit,temp,atemp,TM1,TM2,TM3,TM4,TM5,TM6,TM7
2,2011-01-01,1,0,6,0,1,0.2,0.2576,0,1,1,10,27,32,13
7,2011-01-01,1,0,6,0,1,0.24,0.2879,2,0,1,1,10,27,32
6,2011-01-01,1,0,6,0,1,0.32,0.3485,7,2,0,1,1,10,27
24,2011-01-01,1,0,6,0,1,0.38,0.3939,6,7,2,0,1,1,10
30,2011-01-01,1,0,6,0,1,0.36,0.3333,24,6,7,2,0,1,1
55,2011-01-01,1,0,6,0,1,0.42,0.4242,30,24,6,7,2,0,1
47,2011-01-01,1,0,6,0,2,0.46,0.4545,55,30,24,6,7,2,0
71,2011-01-01,1,0,6,0,2,0.46,0.4545,47,55,30,24,6,7,2
70,2011-01-01,1,0,6,0,2,0.44,0.4394,71,47,55,30,24,6,7
52,2011-01-01,1,0,6,0,2,0.42,0.4242,70,71,47,55,30,24,6
52,2011-01-01,1,0,6,0,2,0.44,0.4394,52,70,71,47,55,30,24
26,2011-01-01,1,0,6,0,3,0.42,0.4242,52,52,70,71,47,55,30
31,2011-01-01,1,0,6,0,3,0.42,0.4242,26,52,52,70,71,47,55
25,2011-01-01,1,0,6,0,2,0.4,0.4091,31,26,52,52,70,71,47
31,2011-01-01,1,0,6,0,2,0.4,0.4091,25,31,26,52,52,70,71
17,2011-01-01,1,0,6,0,2,0.4,0.4091,31,25,31,26,52,52,70
24,2011-01-01,1,0,6,0,2,0.46,0.4545,17,31,25,31,26,52,52
13,2011-01-02,1,0,0,0,2,0.46,0.4545,24,17,31,25,31,26,52
16,2011-01-02,1,0,0,0,2,0.44,0.4394,13,24,17,31,25,31,26
8,2011-01-02,1,0,0,0,2,0.42,0.4242,16,13,24,17,31,25,31
4,2011-01-02,1,0,0,0,2,0.46,0.4545,8,16,13,24,17,31,25
1,2011-01-02,1,0,0,0,2,0.46,0.4545,4,8,16,13,24,17,31
2,2011-01-02,1,0,0,0,3,0.42,0.4242,1,4,8,16,13,24,17
1,2011-01-02,1,0,0,0,2,0.4,0.4091,2,1,4,8,16,13,24
8,2011-01-02,1,0,0,0,3,0.4,0.4091,1,2,1,4,8,16,13
19,2011-01-02,1,0,0,0,2,0.38,0.3939,8,1,2,1,4,8,16
46,2011-01-02,1,0,0,0,2,0.36,0.3485,19,8,1,2,1,4,8
54,2011-01-02,1,0,0,0,2,0.36,0.3333,46,19,8,1,2,1,4
73,2011-01-02,1,0,0,0,2,0.36,0.3333,54,46,19,8,1,2,1
64,2011-01-02,1,0,0,0,2,0.36,0.3485,73,54,46,19,8,1,2
55,2011-01-02,1,0,0,0,3,0.36,0.3485,64,73,54,46,19,8,1
55,2011-01-02,1,0,0,0,3,0.34,0.3333,55,64,73,54,46,19,8
67,2011-01-02,1,0,0,0,3,0.34,0.3333,55,55,64,73,54,46,19
58,2011-01-02,1,0,0,0,1,0.34,0.3333,67,55,55,64,73,54,46
43,2011-01-02,1,0,0,0,2,0.36,0.3333,58,67,55,55,64,73,54
29,2011-01-02,1,0,0,0,1,0.32,0.2879,43,58,67,55,55,64,73
17,2011-01-02,1,0,0,0,1,0.3,0.2727,29,43,58,67,55,55,64
20,2011-01-02,1,0,0,0,1,0.26,0.2273,17,29,43,58,67,55,55
9,2011-01-02,1,0,0,0,1,0.24,0.2121,20,17,29,43,58,67,55
8,2011-01-02,1,0,0,0,1,0.22,0.2273,9,20,17,29,43,58,67
5,2011-01-03,1,0,1,1,1,0.22,0.197,8,9,20,17,29,43,58
2,2011-01-03,1,0,1,1,1,0.2,0.1667,5,8,9,20,17,29,43
1,2011-01-03,1,0,1,1,1,0.16,0.1364,2,5,8,9,20,17,29
3,2011-01-03,1,0,1,1,1,0.16,0.1364,1,2,5,8,9,20,17
30,2011-01-03,1,0,1,1,1,0.14,0.1061,3,1,2,5,8,9,20
63,2011-01-03,1,0,1,1,1,0.14,0.1364,30,3,1,2,5,8,9
153,2011-01-03,1,0,1,1,1,0.14,0.1212,63,30,3,1,2,5,8
81,2011-01-03,1,0,1,1,1,0.16,0.1364,153,63,30,3,1,2,5
33,2011-01-03,1,0,1,1,1,0.18,0.1667,81,153,63,30,3,1,2
41,2011-01-03,1,0,1,1,1,0.2,0.1818,33,81,153,63,30,3,1
48,2011-01-03,1,0,1,1,1,0.22,0.2121,41,33,81,153,63,30,3
53,2011-01-03,1,0,1,1,1,0.24,0.2121,48,41,33,81,153,63,30
66,2011-01-03,1,0,1,1,1,0.26,0.2424,53,48,41,33,81,153,63
58,2011-01-03,1,0,1,1,1,0.26,0.2424,66,53,48,41,33,81,153
67,2011-01-03,1,0,1,1,1,0.26,0.2424,58,66,53,48,41,33,81
146,2011-01-03,1,0,1,1,1,0.24,0.2273,67,58,66,53,48,41,33
148,2011-01-03,1,0,1,1,1,0.24,0.2576,146,67,58,66,53,48,41
102,2011-01-03,1,0,1,1,1,0.2,0.2576,148,146,67,58,66,53,48
49,2011-01-03,1,0,1,1,1,0.2,0.2273,102,148,146,67,58,66,53
49,2011-01-03,1,0,1,1,1,0.18,0.197,49,102,148,146,67,58,66
20,2011-01-03,1,0,1,1,1,0.14,0.1515,49,49,102,148,146,67,58
11,2011-01-03,1,0,1,1,1,0.18,0.2121,20,49,49,102,148,146,67
5,2011-01-04,1,0,2,1,1,0.16,0.1818,11,20,49,49,102,148,146
2,2011-01-04,1,0,2,1,1,0.16,0.1818,5,11,20,49,49,102,148
1,2011-01-04,1,0,2,1,1,0.14,0.1515,2,5,11,20,49,49,102
2,2011-01-04,1,0,2,1,1,0.14,0.1818,1,2,5,11,20,49,49
4,2011-01-04,1,0,2,1,1,0.12,0.1515,2,1,2,5,11,20,49
36,2011-01-04,1,0,2,1,1,0.12,0.1515,4,2,1,2,5,11,20
